,Achromobacter xylosoxidans_gapfilled_395
85698.28.peg.5959,184.78536378482642
85698.28.peg.4513,184.78536378482642
85698.28.peg.5583,184.78536378482642
85698.28.peg.4013,184.78536378482642
85698.28.peg.2803,184.78536378482642
85698.28.peg.3983,184.78536378482642
85698.28.peg.372,184.78536378482642
85698.28.peg.4066,184.78536378482642
85698.28.peg.4125,184.78536378482642
85698.28.peg.492,184.78536378482642
85698.28.peg.6209,184.78536378482642
85698.28.peg.5457,184.78536378482642
85698.28.peg.4632,184.78536378482642
85698.28.peg.3637,184.78536378482642
85698.28.peg.1572,184.78536378482642
85698.28.peg.2219,184.78536378482642
85698.28.peg.6195,184.78536378482642
85698.28.peg.5721,184.78536378482642
85698.28.peg.5503,184.78536378482642
85698.28.peg.889,184.78536378482642
85698.28.peg.22,184.78536378482642
85698.28.peg.139,184.78536378482642
85698.28.peg.1538,184.78536378482642
85698.28.peg.1783,184.78536378482642
85698.28.peg.1504,184.78536378482642
85698.28.peg.4718,184.78536378482642
85698.28.peg.6186,184.78536378482642
85698.28.peg.4668,184.78536378482642
85698.28.peg.2494,184.78536378482642
85698.28.peg.5103,184.78536378482642
85698.28.peg.4805,184.78536378482642
85698.28.peg.4287,184.78536378482642
85698.28.peg.296,184.78536378482642
85698.28.peg.5580,184.78536378482642
85698.28.peg.5452,184.78536378482642
85698.28.peg.6031,184.78536378482642
85698.28.peg.1415,184.78536378482642
85698.28.peg.4836,184.78536378482642
85698.28.peg.1451,184.78536378482642
85698.28.peg.4369,184.78536378482642
85698.28.peg.5397,184.78536378482642
85698.28.peg.5258,184.78536378482642
85698.28.peg.243,184.78536378482642
85698.28.peg.2604,184.78536378482642
85698.28.peg.3690,184.78536378482642
85698.28.peg.1301,184.78536378482656
85698.28.peg.6118,184.78536378482644
85698.28.peg.6278,184.78536378482644
85698.28.peg.1507,184.78536378482644
85698.28.peg.488,184.78536378482644
85698.28.peg.6204,184.78536378482644
85698.28.peg.3389,184.78536378482644
85698.28.peg.2082,181.6037731225007
85698.28.peg.3197,184.7853637848256
85698.28.peg.5573,184.7853637848256
85698.28.peg.5024,184.7853637848256
85698.28.peg.2919,184.7853637848256
85698.28.peg.403,164.25365669762266
85698.28.peg.2977,184.78536378482642
85698.28.peg.1551,184.78536378482625
85698.28.peg.2313,184.78536378482625
85698.28.peg.18,184.78536378482625
85698.28.peg.4854,184.78536378482625
85698.28.peg.3691,184.78536378482625
85698.28.peg.2541,184.78536378482627
85698.28.peg.545,184.78536378482627
85698.28.peg.610,184.78536378482627
85698.28.peg.2315,184.78536378482627
85698.28.peg.143,184.78536378482627
85698.28.peg.5606,184.78536378482627
85698.28.peg.4691,184.78536378482627
85698.28.peg.5010,184.78536378482627
85698.28.peg.3096,184.78536378482627
85698.28.peg.5708,184.78536378482627
85698.28.peg.289,163.71554045734877
85698.28.peg.5257,184.78536378482633
85698.28.peg.5501,184.78536378482633
85698.28.peg.1967,184.78536378482633
85698.28.peg.6088,184.78536378482633
85698.28.peg.4044,184.78536378482633
85698.28.peg.4798,184.78536378482633
85698.28.peg.220,184.78536378482556
85698.28.peg.551,184.78536378482556
85698.28.peg.689,183.08784806845156
85698.28.peg.1885,184.76187103562938
85698.28.peg.475,184.78536378482536
85698.28.peg.2834,184.78536378482536
85698.28.peg.1710,184.78536378482536
85698.28.peg.5933,184.78536378482536
85698.28.peg.5499,184.78536378482536
85698.28.peg.4995,184.78536378482536
85698.28.peg.1643,184.78536378482536
85698.28.peg.5978,184.78536378482536
85698.28.peg.4344,184.78536378482536
