,mean fractional importance,mean fractional ratio,number of reactions,name
cpd02439_c,0.0014030005514668465,0.3595334319889849,6,metabolite missing from universal
cpd03847_c,0.005134763142053767,0.36216594474564245,32,metabolite missing from universal
cpd15237_c,0.005134763142053767,0.36216594474564245,32,metabolite missing from universal
cpd00125_c,0.0006307884616759707,0.36340471420709203,11,metabolite missing from universal
cpd00073_c,0.001384845654009708,0.3670072494683973,25,metabolite missing from universal
cpd00027_e,0.0006458253317860184,0.3704280155642024,1,metabolite missing from universal
cpd00413_c,0.03403703080103527,0.3708859225643226,10,metabolite missing from universal
cpd00269_c,0.04040137016512956,0.37284207723865875,17,metabolite missing from universal
cpd00134_c,0.0007753812388899305,0.37447035604492085,7,metabolite missing from universal
cpd00105_c,0.0005112491882787075,0.3754027926960257,2,metabolite missing from universal
cpd00084_c,0.008640101406485783,0.3765024252683096,44,metabolite missing from universal
cpd00809_c,0.008640101406485783,0.3765024252683096,44,metabolite missing from universal
cpd02700_c,0.0005973371877555933,0.3790322580645161,1,metabolite missing from universal
cpd00015_c,0.0029663814710488893,0.3794209443189657,109,metabolite missing from universal
cpd00982_c,0.0029663814710488893,0.3794209443189657,109,metabolite missing from universal
cpd01882_c,0.0029663814710488893,0.3794209443189657,109,metabolite missing from universal
cpd28293_c,0.003578088215788977,0.3804687500000001,4,metabolite missing from universal
cpd01399_c,0.001503285313827156,0.38173322774599605,20,metabolite missing from universal
cpd00222_c,0.008228081817942379,0.3824587384608195,33,metabolite missing from universal
cpd00222_e,0.008228081817942379,0.3824587384608195,33,metabolite missing from universal
cpd00164_c,0.0006390601922589736,0.38258717502984063,6,metabolite missing from universal
cpd03194_c,0.00045420898851909243,0.3829544818990245,5,metabolite missing from universal
cpd00093_c,0.0013217772538587941,0.38586050665389426,25,metabolite missing from universal
cpd03279_c,0.0002491761752510635,0.3875854700854702,3,metabolite missing from universal
cpd00169_c,0.002095389632994805,0.38834953473331774,11,metabolite missing from universal
cpd00141_c,0.0026899086126845077,0.3916206599956663,32,metabolite missing from universal
cpd00208_c,0.014719142915870335,0.3916839918194956,24,metabolite missing from universal
cpd11711_c,0.0007160962074564609,0.3930516534279778,18,metabolite missing from universal
cpd12475_c,0.0007160962074564609,0.3930516534279778,18,metabolite missing from universal
cpd00032_c,0.004971039649154997,0.39306152956091717,51,metabolite missing from universal
cpd00320_c,0.004971039649154997,0.39306152956091717,51,metabolite missing from universal
cpd00309_c,0.008425340313165773,0.39356012000304275,55,metabolite missing from universal
cpd00515_c,0.0026348383221148877,0.39356116175151484,26,metabolite missing from universal
cpd00571_c,0.0026348383221148877,0.39356116175151484,26,metabolite missing from universal
cpd00082_e,0.003189624130407588,0.39533247366526114,18,metabolite missing from universal
cpd15074_c,0.002106993207113467,0.39725956492978937,36,metabolite missing from universal
cpd00281_c,0.0012360525823016336,0.3981948782771609,24,metabolite missing from universal
cpd00281_e,0.0012360525823016336,0.3981948782771609,24,metabolite missing from universal
cpd00121_c,0.003139201233833851,0.39850987142227867,9,metabolite missing from universal
cpd00121_e,0.003139201233833851,0.39850987142227867,9,metabolite missing from universal
