,Stenotrophomonas maltophilia_gapfilled_0,Stenotrophomonas maltophilia_gapfilled_3
rxn00221_c,164.55185676108655,164.5518567610861
rxn02465_c,164.55185676108655,164.5518567610861
rxn03289_c,164.55185676108655,164.5518567610861
rxn12633_c,164.55185676108655,164.5518567610861
rxn02937_c,164.55185676108655,164.5518567610861
rxn03094_c,164.55185676108655,164.5518567610861
rxn07448_c,164.55185676108655,164.5518567610861
rxn06075_c,164.51010596234815,164.51010596234778
rxn03537_c,-2.1436514296330368e-13,8.871126720290679e-14
rxn08971_c,164.55185676108695,164.55185676108866
rxn00303_c,164.55185676108695,164.55185676108866
rxn00999_c,164.55185676108695,164.55185676108866
rxn02933_c,164.55185676108692,164.55185676109036
rxn02642_c,164.55185676108692,164.55185676109036
rxn01987_c,164.55185676108692,164.55185676109036
rxn05382_c,0.0,4.6540100152298576e-14
rxn01300_c,164.55185676108655,164.5518567610867
rxn03421_c,164.55185676108655,164.5518567610867
rxn00783_c,164.55185676108655,164.5518567610867
rxn00101_c,164.5518567610878,164.5518567610867
rxn13661_c,164.43216673493689,164.40824962080168
rxn03871_c,164.5518567610878,164.5518567610867
rxn02949_c,164.5518567610878,164.5518567610867
rxn12549_c,164.5039598473681,164.50395984737003
rxn01642_c,164.5518567610878,164.5518567610867
rxn20662_c,164.5518567610878,164.5518567610867
rxn08433_c,164.5518567610878,164.5518567610867
rxn10236_c,164.5518567610878,164.5518567610867
rxn01925_c,164.5518567610878,164.5518567610867
EX_cpd00012_e,164.5518567610878,164.5518567610867
EX_cpd00205_e,5.295479586016866e-15,5.864361174967172e-14
EX_cpd11594_e,164.55185676108647,164.55185676108607
rxn02004_c,164.55185676108647,164.55185676108596
rxn03907_c,5.1289170936123654e-14,-7.557511301719976e-13
rxn10114_c,164.55185676108346,164.5518567610877
rxn01459_c,164.55185676108346,164.55185676108488
rxn05405_c,-2.52759353438382e-13,1.5345762847715178e-13
rxn00678_c,164.55185676108624,164.55185676108655
rxn02166_c,164.55185676108624,164.55185676108655
rxn06777_c,164.55185676108624,164.55185676108655
rxn09436_c,-1.020643370030559e-13,-1.770798691928525e-14
